Region,Title,Rank,Source
JP,The Equalizer,5,Netflix
JP,Madame Web,5,Netflix
JP,Detective Conan the Movie: The Lost Ship in the Sky,6,Netflix
JP,Champagne Problems,6,Netflix
JP,Living in Two Worlds,6,Netflix
JP,Fictitious Girl's Diary The Movie,6,Netflix
JP,Don't Say a Word,6,Netflix
JP,Five Nights at Freddy's,6,Netflix
JP,Strays,6,Netflix
JP,Run For Money The Movie,6,Netflix
JP,Man on Fire,6,Netflix
JP,Twisters,6,Netflix
JP,Troll,6,Netflix
JP,The Match,6,Netflix
JP,The Pope's Exorcist,6,Netflix
JP,Caramelo,6,Netflix
JP,Detective Conan the Movie: The Fourteenth Target,6,Netflix
JP,Anpanman: Baikinman and Lulun in the Picture Book,6,Netflix
JP,5 Centimeters Per Second,6,Netflix
JP,Anpanman: Nyani from the Country of Dreamcat,6,Netflix
JP,My Oxford Year,6,Netflix
JP,Road to King Side Story Yamazaki Group Joji and His Cheerful Friends,6,Netflix
JP,Perfect Blue,6,Netflix
JP,Paw Patrol: The Movie,6,Netflix
JP,Ma,6,Netflix
JP,Taxi,7,Netflix
JP,My Secret Santa,7,Netflix
JP,The Equalizer 2,7,Netflix
JP,Black Crow0,7,Netflix
JP,Almost Cops,7,Netflix
JP,Black Crow 2,7,Netflix
JP,The Confidence Man JP - Episode of the Hero -,7,Netflix
JP,Ghostbusters: Frozen Empire,7,Netflix
JP,Jingle Bell Heist,7,Netflix
JP,Judge!,7,Netflix
JP,Harry Potter and the Sorcerer's Stone,7,Netflix
JP,Detective Conan the Movie: Sunflowers of Inferno,7,Netflix
JP,Bewitched,7,Netflix
JP,Detective Conan the Movie: The Crimson Love Letter,7,Netflix
JP,Counterattack,7,Netflix
JP,My SO Has Depression,8,Netflix
JP,Squad 36,8,Netflix
JP,Seventh Son,8,Netflix
JP,Shrek,8,Netflix
JP,Organ Child,8,Netflix
JP,The Voice of Sin,8,Netflix
JP,Titan: The OceanGate Submersible Disaster,8,Netflix
JP,The Life List,8,Netflix
JP,THE CONFIDENCE MAN JPï¼The Movie-,8,Netflix
JP,The Call of the Wild,8,Netflix
JP,Tang,8,Netflix
JP,Sniper: G.R.I.T. - Global Response & Intelligence Team,8,Netflix
JP,Yudo,8,Netflix
JP,Detective Conan the Movie: Private Eye in the Distant Sea,8,Netflix
JP,Fear Street: Prom Queen,8,Netflix
JP,Last Bullet,8,Netflix
JP,A Time to Kill,8,Netflix
JP,Detective Conan the Movie: Eleventh Striker,8,Netflix
JP,Inside,8,Netflix
JP,Elektra,8,Netflix
JP,City Hunter,8,Netflix
